order_id,customer_id,product_id,order_date,quantity,unit_price,region,revenue
1,25795,229,2022-02-16,5,398.29,West,1991.45
2,10860,567,2023-05-25,3,345.75,West,1037.25
3,86820,445,2022-02-05,4,419.41,West,1677.64
4,64886,933,2024-05-13,5,123.95,North,619.75
5,16265,275,2024-02-20,2,286.49,East,572.98
6,92386,547,2022-09-12,1,343.19,West,343.19
7,47194,293,2024-03-03,2,184.08,East,368.16
8,97498,436,2022-02-22,3,358.82,East,1076.46
9,54131,885,2022-03-27,5,212.0,North,1060.0
10,70263,278,2022-07-14,4,92.55,West,370.2
11,26023,851,2024-06-02,3,325.75,West,977.25
12,51090,743,2022-01-29,3,110.44,North,331.32
13,77221,180,2023-11-12,2,345.32,West,690.64
14,74820,260,2023-08-03,3,304.59,East,913.77
15,10769,506,2024-04-01,1,108.77,South,108.77
16,69735,280,2022-06-17,5,175.84,South,879.2
17,72955,368,2023-02-09,2,359.58,North,719.16
18,74925,938,2022-12-17,4,362.19,West,1448.76
19,77969,669,2024-05-15,2,38.55,West,77.1
20,15311,588,2022-05-25,2,480.71,South,961.42
21,93104,593,2023-01-08,2,470.71,South,941.42
22,63707,290,2024-01-26,4,252.51,West,1010.04
23,95305,420,2024-05-07,4,235.21,West,940.84
24,38693,459,2022-12-11,1,243.73,West,243.73
25,81932,653,2023-05-31,4,228.77,East,915.08
26,35658,194,2022-03-01,5,12.69,South,63.449999999999996
27,94478,455,2022-12-25,3,42.83,North,128.49
28,28431,700,2024-02-03,4,191.71,North,766.84
29,12747,720,2023-02-26,2,126.16,South,252.32
30,69150,469,2023-07-18,5,338.04,West,1690.2
31,75725,844,2023-03-27,5,299.43,North,1497.15
32,94654,395,2023-10-31,2,49.95,North,99.9
33,45773,961,2023-09-06,1,192.66,East,192.66
34,77435,201,2023-08-26,4,461.87,South,1847.48
35,66886,120,2024-02-14,4,223.59,West,894.36
36,76803,182,2023-02-09,1,268.16,East,268.16
37,41551,772,2022-10-21,1,390.82,North,390.82
38,21394,466,2022-07-25,2,423.63,South,847.26
39,79092,809,2022-04-26,4,61.5,North,246.0
40,13890,653,2022-02-13,3,300.79,North,902.3700000000001
41,51606,648,2022-08-03,4,153.24,North,612.96
42,90038,811,2023-07-18,5,315.0,South,1575.0
43,97313,484,2023-09-03,4,62.36,East,249.44
44,20627,432,2022-08-10,3,421.75,West,1265.25
45,18792,765,2023-08-28,5,207.66,South,1038.3
46,83969,980,2023-04-02,3,326.77,East,980.31
47,53001,138,2024-03-29,2,482.14,North,964.28
48,86552,146,2022-03-10,5,364.76,North,1823.8
49,33897,411,2024-02-21,1,211.78,North,211.78
50,78148,209,2024-02-22,1,86.4,North,86.4
51,33483,285,2023-02-03,3,301.68,East,905.04
52,58555,284,2022-05-06,5,188.37,East,941.85
53,27159,426,2022-05-04,2,124.94,West,249.88
54,90077,827,2022-06-12,5,209.75,South,1048.75
55,45920,209,2022-01-11,4,449.14,North,1796.56
56,77121,299,2024-01-03,2,448.97,South,897.94
57,79479,272,2024-03-15,2,150.6,North,301.2
58,99475,420,2023-08-07,4,419.87,North,1679.48
59,29457,615,2023-01-05,4,385.65,West,1542.6
60,76557,160,2023-02-09,2,184.64,East,369.28
61,87189,270,2023-10-17,5,448.99,North,2244.95
62,88953,972,2022-02-14,4,31.71,North,126.84
63,62995,246,2023-08-11,1,393.34,East,393.34
64,50757,441,2022-08-27,1,309.87,East,309.87
65,19692,967,2024-01-13,4,341.39,East,1365.56
66,55758,228,2023-06-04,5,178.09,West,890.45
67,82409,758,2024-03-02,4,215.34,East,861.36
68,81211,150,2023-06-28,2,327.5,South,655.0
69,75697,675,2022-03-12,1,141.16,West,141.16
70,47065,674,2024-03-03,5,183.11,South,915.5500000000001
71,42606,384,2024-05-30,2,311.59,West,623.18
72,21534,654,2022-08-17,4,345.43,West,1381.72
73,50397,681,2024-04-28,5,432.65,South,2163.25
74,11016,355,2024-06-12,1,181.59,North,181.59
75,99789,906,2022-12-17,5,307.1,West,1535.5
76,65591,122,2022-05-07,4,21.21,North,84.84
77,99812,868,2022-09-04,3,337.13,North,1011.39
78,33247,160,2022-04-17,1,400.42,South,400.42
79,34300,306,2023-03-10,3,58.74,North,176.22
80,84065,892,2022-08-30,1,20.88,South,20.88
81,92798,231,2023-11-27,5,468.03,West,2340.1499999999996
82,19268,976,2023-05-28,4,437.85,East,1751.4
83,96807,975,2022-09-22,2,161.82,North,323.64
